feature,importance
usd_goal,332
description_length,179
avg_width,113
campaign_days,111
total_unique_colors,110
has_animated_gif,101
is_liked,100
avg_sharpness,99
staff_pick,85
creation_to_launch_days,85
avg_height,75
avg_unique_colors,72
country_the united states,69
video_count,64
name_length,64
avg_aspect_ratio,59
max_saturation,58
img_count,57
blurb_length,56
max_sharpness,53
avg_entropy,52
max_entropy,51
prelaunch_activated,48
max_contrast_rms,47
country_the united kingdom,38
min_contrast_rms,38
avg_brightness,37
min_entropy,35
avg_saturation,34
country_canada,33
min_saturation,32
max_brightness,31
avg_contrast_rms,31
min_brightness,27
min_sharpness,26
image_count,24
has_gif,19
country_australia,17
launch_day_Tuesday,15
deadline_time_2am-4am,14
country_mexico,12
launch_time_2pm-4pm,12
deadline_time_4am-6am,10
launch_time_6am-8am,9
created_day_Tuesday,8
created_month_November,7
launch_month_May,7
deadline_month_November,6
launch_day_Monday,6
deadline_time_6pm-8pm,6
deadline_time_8am-10am,6
launch_time_4pm-6pm,6
deadline_time_4pm-6pm,5
deadline_month_February,5
country_poland,5
launch_time_6pm-8pm,5
has_jpg,5
created_month_March,4
launch_time_8pm-10pm,4
deadline_day_Wednesday,4
deadline_time_12pm-2pm,4
deadline_month_June,4
deadline_time_10am-12pm,3
created_month_February,3
created_month_August,3
country_france,3
deadline_month_April,3
created_day_Wednesday,3
has_png,3
launch_time_10am-12pm,3
created_month_September,3
launch_month_October,2
deadline_month_September,2
deadline_day_Sunday,2
launch_month_November,2
created_month_April,2
launch_time_12pm-2pm,2
deadline_day_Friday,2
deadline_day_Tuesday,2
country_italy,2
launch_day_Wednesday,2
launch_day_Thursday,2
launch_day_Saturday,2
deadline_month_August,1
launch_month_June,1
launch_time_4am-6am,1
deadline_month_July,1
launch_day_Friday,1
deadline_month_January,1
deadline_month_May,1
deadline_month_December,1
created_day_Sunday,1
created_day_Friday,1
created_day_Saturday,1
created_month_October,1
launch_time_2am-4am,1
launch_month_December,1
launch_time_10pm-12am,1
deadline_day_Monday,1
deadline_day_Thursday,1
deadline_time_10pm-12am,1
launch_month_August,0
created_month_May,0
created_month_December,0
created_month_January,0
created_month_July,0
launch_time_8am-10am,0
deadline_day_Saturday,0
has_images,0
launch_time_12am-2am,0
created_month_June,0
launch_month_March,0
launch_month_February,0
launch_month_January,0
launch_month_July,0
launch_month_April,0
country_denmark,0
country_austria,0
country_germany,0
created_day_Thursday,0
deadline_time_6am-8am,0
launch_month_September,0
deadline_time_12am-2am,0
deadline_time_2pm-4pm,0
created_day_Monday,0
deadline_time_8pm-10pm,0
country_belgium,0
country_japan,0
country_ireland,0
country_hong kong,0
country_greece,0
country_switzerland,0
country_singapore,0
country_slovenia,0
country_spain,0
country_new zealand,0
country_sweden,0
country_the netherlands,0
country_luxembourg,0
country_norway,0
deadline_month_March,0
deadline_month_October,0
launch_day_Sunday,0
